movie,year,genre,color,language,country,rating,duration,budget
Interstellar,2014,Adventure,Color,English,USA,PG-13,169,165000000
The Sound of Music,1965,Biography,Color,English,USA,G,174,8200000
3:10 to Yuma,2007,Adventure,Color,English,USA,R,122,55000000
Hamlet,1996,Drama,Color,English,UK,PG-13,150,18000000
Hamlet,1996,Drama,Color,English,UK,PG-13,150,18000000
The Aviator,2004,Biography,Black and White,English,USA,PG-13,170,110000000
The English Patient,1996,Drama,Color,English,USA,R,162,27000000
Poltergeist,1982,Fantasy,Color,English,USA,PG,120,10700000
Poltergeist,1982,Fantasy,Color,English,USA,PG,120,10700000
The Squid and the Whale,2005,Comedy,Color,English,USA,R,88,1500000
Osama,2003,Drama,Color,Dari,Afghanistan,PG-13,83,46000
The Queen,2006,Biography,Color,English,UK,PG-13,94,9800000
Dr. No,1962,Action,Color,English,UK,Approved,110,1100000
Chicago,2002,Comedy,Black and White,English,USA,PG-13,113,45000000
Shakespeare in Love,1998,Comedy,Color,English,USA,R,123,25000000
Iris,2001,Biography,Color,English,UK,R,91,5500000
Four Weddings and a Funeral,1994,Comedy,Color,English,UK,R,117,4500000
The Green Mile,1999,Crime,Color,English,USA,R,189,60000000
Braveheart,1995,Biography,Color,English,USA,R,178,72000000
A Beautiful Mind,2001,Biography,Color,English,USA,PG-13,135,58000000
Deadpool,2016,Action,Color,English,USA,R,108,58000000
Rocky,1976,Drama,Color,English,USA,PG,145,960000
The World's Fastest Indian,2005,Biography,Color,English,New Zealand,PG-13,127,25000000
The Girl with the Dragon Tattoo,2011,Crime,Color,English,USA,R,158,90000000
As Good as It Gets,1997,Comedy,Color,English,USA,PG-13,139,50000000
Kung Fu Panda,2008,Action,Color,English,USA,PG,92,130000000
Fury,2014,Action,Color,English,USA,R,134,68000000
The Town,2010,Crime,Color,English,USA,R,150,37000000
Mulan,1998,Adventure,Color,English,USA,G,88,90000000
Men in Black,1997,Adventure,Color,English,USA,PG-13,98,90000000
American Hustle,2013,Crime,Color,English,USA,R,138,40000000
Shaolin Soccer,2001,Action,Black and White,Cantonese,Hong Kong,PG,85,10000000
Go,1999,Comedy,Color,English,USA,R,102,6500000
Hairspray,2007,Comedy,Color,English,USA,PG,117,75000000
Star Wars: Episode VI - Return of the Jedi,1983,Action,Color,English,USA,PG,134,32500000
Die Hard,1988,Action,Color,English,USA,R,131,28000000
Amores Perros,2000,Drama,Color,Spanish,Mexico,R,115,2000000
Bowling for Columbine,2002,Crime,Black and White,English,Germany,R,120,4000000
Avatar,2009,Action,Color,English,USA,PG-13,178,237000000
Straight Outta Compton,2015,Biography,Color,English,USA,R,167,28000000
Ocean's Eleven,2001,Crime,Color,English,USA,PG-13,116,85000000
Eastern Promises,2007,Crime,Color,English,USA,R,96,25000000
A Single Man,2009,Drama,Color,English,USA,R,99,7000000
Waiting for Guffman,1996,Comedy,Color,English,USA,R,84,4000000
The Ice Storm,1997,Drama,Color,English,USA,R,112,18000000
Up in the Air,2009,Drama,Color,English,USA,R,108,25000000
The Descendants,2011,Comedy,Color,English,USA,R,115,20000000
Gosford Park,2001,Drama,Color,English,UK,R,131,19800000
Enchanted,2007,Animation,Color,English,USA,PG,107,85000000
The Quiet American,2002,Drama,Color,English,UK,R,101,30000000
Chicken Run,2000,Adventure,Color,English,UK,G,84,45000000
Star Trek Into Darkness,2013,Action,Color,English,USA,PG-13,132,190000000
Gattaca,1997,Drama,Color,English,USA,PG-13,106,36000000
Frozen,2013,Adventure,Color,English,USA,PG,102,150000000
The Royal Tenenbaums,2001,Comedy,Color,English,USA,R,110,21000000
Source Code,2011,Mystery,Color,English,USA,PG-13,93,32000000
George Washington,2000,Drama,Color,English,USA,Unrated,90,42000
The Talented Mr. Ripley,1999,Crime,Color,English,USA,R,139,40000000
Chasing Amy,1997,Comedy,Color,English,USA,R,113,250000
The Age of Innocence,1993,Drama,Color,English,USA,PG,139,30000000
Let Me In,2010,Drama,Color,English,UK,R,116,20000000
The Full Monty,1997,Comedy,Color,English,UK,R,91,3500000
The Believer,2001,Drama,Black and White,English,USA,R,98,1500000
The Full Monty,1997,Comedy,Color,English,UK,R,91,3500000
